"names","avgs","df","sd","idf"
"comic",63.2193103448276,725,21.8424148416108,5.87957057488071
"comedi",61.0004531037608,2207,23.4874801426755,4.27353684550339
"capac",67.3478260869565,23,26.4837001303189,10.857845803726
"doubli",81,3,19.5202591774521,13.7964452590618
"impress",63.5055865921788,358,20.3154187859398,6.89759198251875
"end",61.5630630630631,1332,21.172503671078,5.00202939271174
"older",62.9876543209877,81,21.7126132025636,9.04155775689838
"tender",76.2407407407407,108,20.189595297204,8.62652025761954
"sagac",100,1,1,15.381407759783
"recal",63.2328767123288,73,22.9529297892516,9.19158320090299
"pictur",66.0021786492375,918,22.6967298653821,5.5390574163692
"seri",57.7816901408451,426,21.9509621951215,6.64669813955717
"miniclimax",86.6666666666667,3,24.094010767585,13.7964452590618
"build",66.1189189189189,185,21.1787371658268,7.85002629926669
"devast",81.04,50,16.3462885229156,9.73755157000828
"definit",63.8082191780822,146,22.633408094249,8.19158320090299
"conclus",64.8198198198198,111,21.381452440972,8.5869918934329
